audio_id,word_id,word,start_time,end_time
audio_001,0,i,0.824,1.044
audio_001,1,simply,1.064,1.385
audio_001,2,must,1.485,1.746
audio_001,3,get,1.826,2.006
audio_001,4,through,2.066,2.467
audio_001,5,sorry,2.487,2.607
audio_001,6,you're,2.848,3.008
audio_001,7,much,3.048,3.449
audio_001,8,too,3.469,3.529
audio_001,9,big,3.549,4.33
audio_001,10,yeah,4.35,4.591
audio_001,11,man,4.631,4.972
audio_001,12,bobby,5.733,6.194
audio_001,13,two,6.294,6.354
audio_001,14,pistols,6.394,7.015
audio_001,15,in,7.035,7.075
audio_001,16,his,7.095,7.156
audio_001,17,bitch,7.176,7.376
audio_001,18,yeah,7.396,8.197
audio_001,19,man,8.238,8.318
audio_001,20,fuck,8.758,9.019
audio_001,21,all,9.099,9.219
audio_001,22,those,9.259,9.44
audio_001,23,niggers,9.48,9.941
audio_001,24,man,10.001,10.321
audio_001,25,martin,10.782,11.023
audio_001,26,luther,11.043,11.243
audio_001,27,king,11.263,11.443
audio_001,28,deserved,11.483,11.844
audio_001,29,to,11.904,11.984
audio_001,30,be,12.105,12.365
audio_001,31,killed,12.385,12.826
audio_001,32,that,12.926,13.046
audio_001,33,fucking,13.066,13.227
audio_001,34,nigger,13.247,13.607
audio_001,35,just,13.988,14.108
audio_001,36,fuck,14.168,14.349
audio_001,37,those,14.369,14.589
audio_001,38,apart,14.649,15.671
audio_001,39,fuck,15.811,16.032
audio_001,40,those,16.072,16.252
audio_001,41,niggers,16.332,16.653
audio_001,42,man,16.713,17.314
audio_001,43,fuck,22.12,22.481
audio_001,44,all,22.722,22.943
audio_001,45,niggas,23.024,23.425
audio_001,46,fuck,23.887,24.249
audio_001,47,all,24.43,24.63
audio_001,48,niggas,24.791,25.132
audio_001,49,fuck,25.614,25.976
audio_001,50,all,26.117,26.237
audio_001,51,those,26.277,26.418
audio_001,52,niggas,26.498,26.88
audio_001,53,fuck,27.342,27.643
audio_001,54,all,27.723,27.844
audio_001,55,those,27.904,28.085
audio_001,56,niggas,28.185,28.567
audio_001,57,fuck,29.029,29.43
audio_001,58,all,29.45,29.571
audio_001,59,those,29.631,29.812
audio_001,60,niggas,29.912,30.294
audio_001,61,fuck,31.057,31.137
audio_001,62,all,31.157,31.278
audio_001,63,those,31.338,31.519
audio_001,64,niggas,31.619,32.282
audio_001,65,they,34.692,35.413
audio_001,66,wanna,35.453,35.793
audio_001,67,rap,35.853,36.153
audio_001,68,and,36.173,36.254
audio_001,69,steal,36.294,36.514
audio_001,70,my,36.554,36.674
audio_001,71,shit,36.714,37.034
audio_001,72,because,37.054,37.375
audio_001,73,they,37.415,37.555
audio_001,74,can't,37.575,37.955
audio_001,75,get,38.015,38.316
audio_001,76,shit,38.416,38.856
audio_001,77,go,39.297,39.557
audio_001,78,and,39.577,39.677
audio_001,79,get,39.777,39.917
audio_001,80,a,39.977,40.037
audio_001,81,job,40.097,40.478
audio_001,82,stop,40.958,41.259
audio_001,83,trying,41.299,41.639
audio_001,84,to,41.679,41.779
audio_001,85,rob,41.839,42.26
audio_001,86,stop,42.54,42.68
audio_001,87,trying,42.7,42.98
audio_001,88,to,43.0,43.08
audio_001,89,fuck,43.201,43.381
audio_001,90,my,43.421,43.541
audio_001,91,mom,43.581,43.941
audio_001,92,my,44.262,44.422
audio_001,93,dick,44.462,44.702
audio_001,94,is,44.722,44.802
audio_001,95,bigger,44.862,45.103
audio_001,96,than,45.123,45.243
audio_001,97,yards,45.323,45.723
audio_001,98,fuck,46.264,46.424
audio_001,99,all,46.724,46.884
audio_001,100,niggas,46.984,47.385
audio_001,101,they,47.845,48.106
audio_001,102,can,48.126,48.186
audio_001,103,burn,48.266,48.526
audio_001,104,in,48.546,48.626
audio_001,105,hell,48.686,49.107
audio_001,106,fuck,49.627,49.907
audio_001,107,rosa,49.947,50.388
audio_001,108,parks,50.548,51.149
audio_001,109,i'll,51.209,51.289
audio_001,110,slap,51.309,51.469
audio_001,111,that,51.529,51.689
audio_001,112,bitch,51.749,51.969
audio_001,113,as,51.99,52.09
audio_001,114,well,52.19,52.57
audio_001,115,niggas,53.051,53.391
audio_001,116,need,53.451,53.651
audio_001,117,to,53.711,53.811
audio_001,118,burn,53.851,54.252
audio_001,119,niggas,54.752,55.113
audio_001,120,need,55.153,55.373
audio_001,121,to,55.413,55.513
audio_001,122,learn,55.553,55.933
audio_001,123,niggas,56.454,56.814
audio_001,124,can't,56.874,57.175
audio_001,125,pass,57.455,57.635
audio_001,126,class,57.675,58.096
audio_001,127,niggas,58.156,58.456
audio_001,128,can't,58.556,58.876
audio_001,129,learn,58.957,59.417
audio_001,130,yeah,66.721,67.562
audio_001,131,fuck,67.582,67.942
audio_001,132,all,67.962,68.162
audio_001,133,those,68.182,68.363
audio_001,134,niggas,68.503,68.823
audio_001,135,fuck,69.283,69.684
audio_001,136,all,69.704,69.844
audio_001,137,those,69.884,70.064
audio_001,138,niggas,70.144,70.565
audio_001,139,fuck,71.025,71.385
audio_001,140,all,71.405,71.546
audio_001,141,those,71.566,71.786
audio_001,142,niggas,71.866,72.266
audio_001,143,yeah,72.747,73.167
audio_001,144,bitch,73.607,73.828
audio_001,145,my,73.868,74.008
audio_001,146,name,74.048,74.228
audio_001,147,is,74.288,74.348
audio_001,148,bobby,74.448,74.789
audio_001,149,two,74.849,75.209
audio_001,150,pistols,75.289,76.23
audio_001,151,you,76.89,77.011
audio_001,152,try,77.051,77.291
audio_001,153,to,77.331,77.411
